y,A1,A127,A86,A146,A45
0,27,13,84000,0,14
0,75,10,60000,0,0
1,15,1,8000,0,0
1,21,6,0,0,0
1,26,2,15000,0,0
0,88,9,0,0,0
1,16,2,0,0,0
1,31,8,36000,0,3
0,40,8,2500,1,0
0,23,4,6000,0,0
0,89,14,8000,1,0
1,93,7,3000,0,0
0,37,9,5000,0,0
1,34,3,3500,0,0
0,16,2,60000,0,0
1,11,6,3000,0,0
0,10,3,5000,1,0
0,98,6,10000,0,0
0,38,10,40000,0,0
0,64,10,0,0,0
0,26,6,8500,0,0
0,31,12,9000,1,0
0,25,5,0,0,0
0,50,12,1500,0,0
0,75,10,5000,0,0
0,38,11,100000,0,0
0,10,1,7200,0,0
0,38,3,2000,0,0
1,22,7,11900,0,0
0,49,8,5200,0,0
1,28,7,6000,1,0
0,156,11,5000,0,0
0,18,4,20000,0,0
0,65,6,0,0,0
1,17,5,10000,0,0
0,31,3,2000,0,0
0,135,3,2000,0,0
0,21,3,5000,0,0
0,54,5,0,0,0
0,11,3,10000,0,12
0,91,7,3000,0,0
0,14,6,5000,1,0
0,43,2,2000,0,0
0,32,4,3000,0,0
0,23,5,1000,0,0
0,28,11,8000,0,0
1,33,3,8000,1,0
0,30,10,8000,0,0
1,15,5,5500,0,0
0,42,7,3000,0,0
0,20,8,2000,1,0
0,33,8,5000,0,0
1,13,4,5000,0,0
0,19,3,1000,1,0
0,8,2,7500,0,0
0,9,1,5000,0,0
0,10,3,8000,0,7
0,41,22,0,0,0
0,38,9,3000,0,0
0,25,3,5000,0,0
1,85,7,2000,1,0
0,20,5,3000,0,0
0,14,1,18000,0,0
1,36,8,3000,0,0
0,23,3,15000,0,0
0,87,5,5000,0,0
1,17,3,25000,0,0
0,23,4,50000,0,0
0,10,4,5000,1,0
0,23,5,5000,0,0
0,15,5,2000,0,0
0,19,4,0,0,0
0,32,3,3000,0,0
0,24,20,100000,0,12
1,39,3,6000,0,0
1,26,9,16000,0,0
0,11,2,60000,0,0
0,19,5,6000,0,0
0,78,5,4000,0,0
0,9,3,2000,0,0
0,42,6,3900,0,0
0,16,5,60000,0,0
0,13,3,5000,0,0
0,10,3,8000,0,0
0,34,15,5000,0,0
1,18,8,9074,0,0
0,20,9,10000,0,20
0,97,9,10000,0,0
0,123,2,6000,0,0
0,22,4,5000,0,0
0,122,13,0,0,0
0,34,7,6000,0,0
0,41,3,11000,0,0
0,32,8,4500,0,0
1,81,9,0,0,0
0,35,8,500,0,0
0,41,6,4000,0,0
0,90,2,10000,0,0
0,15,10,35000,0,0
0,113,4,5000,1,0
0,44,9,0,0,0
0,20,11,3000,2,13
0,16,5,3000,0,0
0,50,7,0,0,0
0,15,3,5000,0,0
0,24,3,5000,0,5
0,70,17,2000,0,0
0,57,14,0,0,3
0,74,8,1,0,0
0,33,8,0,0,0
0,9,6,1000,0,0
1,14,3,5000,0,0
0,12,4,7000,0,0
0,16,5,4000,0,0
0,13,3,6000,0,0
0,42,10,18000,0,0
1,174,9,5000,0,0
1,16,4,5000,0,0
0,80,18,15000,0,0
0,16,4,11000,0,0
0,12,4,10000,0,0
0,58,13,31000,0,0
0,33,2,0,0,0
0,28,6,1000,0,0
0,15,2,0,0,0
0,21,3,6000,0,0
1,82,9,2000,0,0
1,15,16,7000,0,22
0,33,7,10000,0,0
0,42,5,3000,0,0
0,28,6,3000,0,0
0,11,2,3000,0,0
0,36,16,12000,0,0
0,10,1,8000,0,0
0,12,2,6000,0,0
1,26,4,8400,0,0
0,24,9,48000,0,0
0,83,18,69000,2,0
0,31,10,100,0,0
0,18,7,10000,0,0
1,8,3,15000,0,0
0,11,2,2000,0,0
0,23,6,7000,0,0
0,11,3,10000,0,0
0,17,8,6000,0,0
0,14,8,15000,0,0
0,35,5,1000,0,0
0,27,2,5000,1,0
1,10,8,12000,0,0
0,97,13,15000,0,0
0,22,8,8000,0,0
0,67,5,2000,0,0
0,42,7,10000,0,0
0,9,6,10000,2,18
0,16,2,5000,0,0
1,160,7,5000,0,0
0,10,3,60000,0,0
0,19,4,4000,0,0
0,28,9,10000,0,0
0,36,10,200,1,0
0,55,6,500,0,0
0,32,3,0,0,0
0,49,10,0,1,0
0,16,6,5000,0,0
0,48,15,1000,1,7
0,81,7,2000,0,0
0,14,5,5000,0,0
1,31,8,2000,2,0
1,16,6,5000,0,14
1,49,3,0,0,0
0,78,8,47900,0,0
1,5,2,5000,0,0
0,56,3,24000,0,0
0,21,7,5000,1,0
1,19,4,17000,0,0
0,15,8,8000,0,2
0,83,8,3000,1,0
0,10,5,3000,0,0
0,24,9,0,0,0
0,22,6,12000,0,0
0,35,8,4000,0,0
0,8,2,3000,0,0
0,51,8,0,0,0
1,10,3,1000,0,0
0,12,1,5000,0,0
0,65,5,0,0,0
0,35,3,2000,0,0
0,43,6,8000,0,0
0,32,12,2000,0,4
0,10,2,4000,0,0
0,12,5,2000,0,0
0,24,2,1000,0,0
0,43,4,15000,0,13
0,16,6,10000,0,0
0,23,8,500,1,0
1,71,9,0,0,0
0,24,8,4000,0,0
0,54,5,4000,0,3
0,22,14,4500,0,0
0,32,6,3000,0,0
0,34,1,10000,0,0
0,18,7,29000,0,0
1,10,1,5000,0,0
0,32,4,5000,0,0
0,47,12,50000,1,0
0,45,12,200,0,0
0,120,12,10000,1,0
0,77,19,2000,4,0
0,17,4,0,0,0
0,59,8,3000,0,0
0,30,6,10000,0,0
1,8,2,2500,0,0
0,27,5,24000,0,0
0,15,3,4833,0,0
0,47,2,0,0,0
1,28,4,12000,0,0
0,99,9,0,0,0
0,74,3,0,0,0
1,55,5,6000,0,0
0,30,6,46000,0,0
0,26,7,60000,0,0
0,63,8,0,0,0
0,13,5,8000,0,0
0,18,3,5000,0,0
0,28,7,20000,2,0
0,21,4,18000,0,0
0,63,3,500000,0,0
1,26,4,1000,1,0
0,85,6,2000,0,0
0,87,7,0,0,0
0,66,10,2000,2,0
1,27,19,5000,0,0
0,65,6,6000,0,0
0,87,17,28000,0,0
0,193,13,5000,0,0
0,81,14,10,0,0
0,34,9,5000,1,0
1,10,6,5000,0,0
0,17,3,5000,0,0
1,14,4,2000,0,0
0,34,5,3000,0,0
0,24,7,7000,0,0
1,17,5,3000,0,0
0,29,7,32000,1,14
0,27,6,12000,0,0
0,21,3,0,0,15
0,31,2,28010,0,0
0,18,3,8000,0,0
0,69,12,4000,0,0
0,31,5,20000,0,0
0,61,3,0,0,0
1,79,3,1000,0,0
0,25,5,4000,1,0
1,40,7,29000,0,0
0,16,6,15000,0,0
0,73,9,50000,0,4
1,18,2,28000,0,0
0,14,3,6000,0,0
0,16,9,2000,0,0
0,29,8,6000,0,0
1,30,2,10000,0,0
0,27,3,6000,0,0
1,87,6,0,0,0
0,14,3,15000,0,0
0,11,3,2000,0,0
0,67,18,20000,0,0
0,44,12,7000,0,0
1,17,6,5000,0,0
1,26,1,4000,0,0
0,84,5,6000,0,0
0,56,15,0,0,0
1,15,3,2000,0,0
0,12,1,60000,0,0
0,40,5,3000,0,0
0,18,4,3000,0,0
0,50,11,26000,2,0
0,27,4,3000,0,0
0,13,2,3000,0,0
0,27,5,6000,0,0
0,55,14,33800,1,0
0,88,10,2500,1,0
0,13,5,5000,0,0
0,46,10,7500,0,0
1,41,12,600,0,0
0,22,13,7000,0,0
1,32,6,6000,0,0
0,13,3,5000,0,0
0,14,3,5000,0,0
0,11,1,2000,0,0
0,52,6,12500,0,17
1,0,1,0,0,0
0,10,3,2000,0,0
0,23,3,23000,0,0
0,17,1,7000,0,0
0,19,8,200,0,0
0,27,4,3000,0,0
0,35,9,35000,0,0
0,40,20,17000,0,0
1,15,6,10000,0,0
0,31,3,59800,0,0
0,50,6,5000,0,0
0,63,8,3000,1,0
1,23,5,40000,0,0
0,77,4,10000,0,0
1,0,1,0,0,0
0,38,5,15000,0,0
0,31,8,5000,1,0
0,29,7,3000,0,0
1,24,7,5000,0,0
1,18,10,11500,0,0
0,27,3,8000,0,0
0,55,13,24000,0,0
0,46,5,0,0,0
0,20,4,5000,0,0
0,41,4,0,0,0
0,49,6,0,0,0
1,9,1,3000,0,0
0,23,5,5000,0,0
0,20,6,11000,0,5
0,79,6,3000,0,0
1,29,5,0,0,0
0,14,5,5000,0,0
0,83,7,7500,0,0
0,95,15,20000,0,0
0,16,5,13000,0,0
0,23,2,50000,0,0
1,55,8,10000,0,0
1,29,2,0,0,0
0,31,1,100,0,0
0,84,5,0,0,0
0,78,9,69000,0,0
1,41,2,2000,0,0
0,53,10,18000,1,0
0,19,3,3000,0,0
0,87,4,40000,0,0
0,15,3,3000,0,0
1,25,5,3000,0,0
0,49,5,6000,2,0
0,75,6,3000,0,0
0,90,4,30000,0,0
0,26,5,2000,0,0
0,18,7,3000,0,0
0,30,1,18000,0,0
1,16,2,15000,0,0
0,21,2,7500,0,0
1,33,10,2000,0,0
0,25,2,9000,0,0
0,60,11,3500,0,9
0,53,4,2000,3,0
0,127,14,5000,1,0
0,83,4,10,0,0
0,15,2,2000,0,0
0,36,4,5000,0,0
0,99,10,5000,0,0
0,33,9,10000,0,0
1,15,3,5000,0,0
0,82,5,5000,1,0
0,39,3,3000,0,0
0,15,6,12000,0,0
0,42,3,17000,0,0
0,11,2,5000,0,0
0,26,9,6000,0,0
0,10,3,1000,0,3
0,23,3,3000,0,0
0,25,9,6000,0,0
0,10,2,2500,0,0
0,22,7,6000,0,0
0,10,2,5000,0,0
0,26,5,45000,0,0
0,34,2,10000,0,0
1,19,2,5000,0,0
0,34,5,8000,0,0
0,31,15,60000,1,11
0,31,6,17000,0,0
0,18,3,45000,0,0
0,107,5,6000,0,0
0,9,3,2000,0,0
0,82,6,500,1,0
0,26,8,3000,0,0
0,10,1,9000,0,0
0,35,1,0,0,0
0,18,2,1000,0,0
0,36,11,5000,1,0
0,52,12,0,0,0
0,24,7,40000,0,0
0,88,9,5000,0,0
0,34,5,13000,0,0
0,30,3,12000,0,0
0,26,4,7000,0,0
0,45,12,4500,0,0
0,13,4,3500,0,0
0,29,6,5000,0,0
0,17,4,38000,0,0
0,25,3,4000,0,0
0,32,12,10400,0,0
0,12,3,2000,0,0
0,14,3,5000,0,0
0,20,4,10000,0,0
0,37,10,50000,0,0
0,34,6,0,1,0
0,32,4,0,0,0
0,84,7,3000,0,0
0,27,4,2000,0,9
1,35,3,3000,0,0
0,30,20,150000,0,0
0,69,5,3000,0,0
0,24,6,3000,0,0
0,76,7,28000,0,0
0,20,5,50000,0,0
0,27,5,2000,0,0
0,14,1,7000,0,0
0,13,4,5000,0,0
0,47,10,5000,0,0
0,32,7,13000,1,0
1,102,8,0,0,10
0,30,5,18000,0,0
0,100,5,1000,0,0
0,13,4,2000,0,0
0,27,5,21000,1,0
0,44,6,20000,0,0
1,15,2,3000,0,0
0,40,8,2000,0,0
0,8,1,15000,0,0
0,18,5,4000,0,0
0,22,7,49000,0,0
1,12,1,5000,0,0
0,102,3,3000,0,0
0,30,2,2000,0,0
0,23,3,2000,0,0
0,20,2,16000,0,0
0,17,2,10000,0,0
0,17,2,10000,0,0
0,31,7,7000,0,0
0,39,3,1000,0,0
0,93,6,500,0,0
0,148,10,0,1,0
0,87,21,50000,0,0
0,19,4,4000,0,0
0,15,4,13000,0,0
1,14,2,12000,0,0
0,21,9,5000,1,4
0,72,10,2000,1,9
0,49,10,7500,1,0
1,15,7,20000,0,0
0,10,2,3000,0,0
0,22,5,5000,0,0
1,9,3,3000,0,0
0,22,2,2500,0,0
1,54,6,5000,0,0
1,35,9,25000,0,0
0,16,7,2000,0,0
0,22,4,30000,0,0
0,57,5,0,0,0
0,58,13,42000,0,0
0,19,3,5000,0,0
0,32,4,20000,0,0
0,60,6,1000,0,0
0,41,10,11000,0,0
0,15,4,5000,0,0
0,31,2,20000,0,0
0,14,2,2000,0,0
0,68,13,12000,1,0
0,16,3,43000,0,0
0,22,3,3000,0,0
0,25,8,8000,0,0
0,9,2,2000,0,0
0,26,3,4000,0,0
1,22,3,6000,0,0
0,54,14,23000,2,0
1,10,1,50000,0,0
0,39,5,2000,0,0
0,96,11,500,0,0
1,10,2,4000,0,0
0,14,9,15000,0,0
0,63,7,0,0,0
0,64,9,6000,0,0
0,25,3,30000,0,0
0,34,8,10000,0,0
0,18,3,20000,0,0
0,18,7,2000,0,0
0,48,10,1000,0,0
0,29,4,5000,0,0
0,102,6,2000,0,0
0,25,3,10000,0,0
0,39,8,50000,0,0
0,54,5,0,0,0
0,23,6,5000,0,0
0,15,9,10667,0,0
0,40,8,0,1,0
0,90,6,1000,0,0
0,15,6,11000,0,0
0,11,7,3000,0,0
0,18,5,10000,0,0
1,27,7,7000,0,0
0,15,2,3000,0,0
0,38,22,3000,0,0
1,80,1,1000,0,0
0,67,7,1,0,0
0,13,4,5000,0,0
0,116,10,0,0,0
0,52,3,5000,0,0
0,43,5,2000,0,0
0,27,10,15000,0,0
1,34,2,4500,1,0
0,11,3,2000,0,0
0,73,6,50,0,0
0,25,1,9000,0,0
0,77,8,0,0,0
0,12,13,5000,1,3
0,53,4,26000,0,0
0,35,14,10000,0,23
0,18,4,10000,0,0
0,40,4,1000,0,0
0,118,10,50000,1,0
0,98,12,15000,0,0
0,16,6,13000,0,0
0,50,5,8000,0,12
0,26,2,0,0,0
0,31,10,2000,1,0
0,28,5,2000,2,0
0,14,4,7000,0,0
0,106,9,0,1,0
0,40,10,10000,0,38
0,48,6,50000,0,0
0,13,2,0,0,0
0,54,3,12000,0,0
0,20,2,10000,0,0
0,126,47,0,1,0
0,87,8,4000,0,0
1,8,2,5000,0,0
0,48,3,4000,0,0
0,38,8,12000,1,0
0,40,9,2000,0,26
0,0,1,0,0,0
0,25,5,1000,0,0
1,75,5,0,0,0
0,47,7,14000,0,0
0,31,9,20000,0,0
0,89,10,9000,0,0
0,10,4,1000,0,0
1,137,8,4000,0,0
0,54,14,2000,0,0
0,95,18,0,3,0
0,96,12,4000,3,3
0,72,12,2000,0,0
0,123,13,3000,3,0
1,11,2,0,0,0
0,9,1,10000,0,0
0,27,4,500,0,0
0,19,6,1500,0,0
0,21,1,5000,0,0
0,66,15,1,2,0
0,17,1,11000,0,0
0,13,2,18000,0,0
1,24,3,2000,0,0
0,42,14,2000,0,3
0,8,2,1000,0,0
0,77,8,500,0,0
0,23,6,23000,1,0
0,8,1,15000,0,0
1,21,4,15000,0,0
0,32,8,32000,0,0
0,25,3,7500,0,0
0,57,4,3000,0,0
1,72,4,2000,0,0
0,87,19,3000,0,10
0,27,5,42000,0,0
0,23,4,6000,0,0
0,93,15,1,0,0
1,66,17,25000,0,0
0,31,6,1000,0,0
1,102,5,0,0,0
1,29,3,10000,0,0
1,121,13,10000,0,0
0,68,2,0,0,0
0,34,4,10000,0,0
0,106,4,4000,0,0
0,79,8,50000,0,0
0,93,4,5000,0,0
0,35,4,6000,1,0
0,15,4,5000,0,0
0,109,20,60000,1,0
0,69,18,31200,3,0
0,114,4,5000,0,0
0,102,16,3000,1,0
0,33,8,6000,0,0
0,188,18,5000,2,0
1,17,4,9000,0,0
0,6,3,500,0,0
0,25,6,200,0,0
0,55,3,2000,3,0
0,95,3,1000,0,0
0,100,6,1000,0,0
0,36,5,4000,0,9
0,90,15,32000,0,0
0,56,8,40000,0,0
1,55,8,5000,0,0
0,24,3,5000,0,0
0,26,1,5000,0,0
1,10,2,5000,0,0
0,17,4,10000,0,0
0,50,6,2000,0,0
1,17,3,0,0,0
1,23,4,0,0,0
0,9,1,6900,0,0
1,161,2,0,0,0
0,59,8,7000,0,0
0,22,14,6000,0,0
1,30,8,20000,0,0
0,66,6,2000,0,0
0,21,4,3500,0,0
1,24,1,20000,0,0
1,55,10,0,1,0
1,44,12,5000,0,35
0,45,6,2000,0,0
1,58,4,3000,0,0
0,14,5,2000,0,0
0,100,20,50000,0,0
0,82,19,24000,0,0
0,68,9,5000,3,0
0,39,6,2000,0,0
0,20,3,14000,0,0
1,27,6,9839,0,17
0,36,4,16000,0,0
0,33,6,8000,0,0
0,26,3,10000,0,0
0,24,3,10000,0,0
0,44,14,70000,3,0
0,39,9,3000,1,0
0,11,3,2000,0,0
0,32,12,60000,0,11
1,59,14,60000,0,0
0,70,5,5000,0,0
0,89,5,0,0,0
0,39,5,6000,0,11
0,178,13,10000,0,0
0,54,4,500,0,0
0,22,3,6000,0,0
0,18,3,5000,1,0
0,37,6,2000,1,0
0,11,3,10000,0,0
0,25,7,10000,0,0
0,63,5,30000,0,0
0,12,1,2500,0,0
1,128,10,1,0,0
0,66,4,2000,0,0
0,87,7,50000,1,0
0,79,11,2000,0,0
0,14,7,10000,0,0
1,70,11,3000,3,0
1,79,4,5000,1,0
0,45,7,2500,0,16
0,31,7,1,0,0
0,10,8,12000,0,0
1,21,2,5000,0,0
0,68,11,3000,0,0
1,17,2,10800,0,0
0,34,8,6000,1,0
0,41,12,11000,1,0
0,34,5,11000,0,0
0,88,7,800,0,0
0,77,6,17000,0,0
0,0,2,0,1,0
1,75,7,10,1,0
0,47,5,2000,0,0
0,17,5,2000,0,0
0,28,1,0,0,0
0,35,4,5000,0,0
1,30,3,3000,0,0
0,21,3,24500,0,0
0,15,2,8000,0,0
0,21,5,40000,0,0
1,8,1,5000,0,0
0,78,4,1,0,0
1,14,7,84300,0,0
